SEQN,FIAINTRP,INDHHINC,SDMVPSU,DMDMARTL,MIALANG,DMDHRAGE,AIALANG,FIALANG,RIDAGEYR,DMDHRBRN,DMDYRSUS,DMDHHSIZ,WTINT2YR,MIAPROXY,SDDSRVYR,DMDHRGND,DMDBORN,RIDEXPRG,SIAPROXY,FIAPROXY,MIAINTRP,RIDAGEMN,INDFMINC,DMDHSEDU,INDFMPIR,RIDSTATR,RIAGENDR,DMDEDUC3,RIDRETH1,SDMVSTRA,SIAINTRP,DMQMILIT,RIDEXMON,DMDEDUC2,RIDAGEEX,DMDSCHOL,DMDCITZN,WTMEC2YR,DMDHRMAR,SIALANG,DMDHREDU,SourceYear
28990.0,2.0,6.0,1.0,1.0,1.0,59.0,1.0,1.0,59.0,2.0,9.0,2.0,22106.869751,2.0,3.0,1.0,2.0,,2.0,2.0,2.0,713.0,6.0,2.0,2.48,2.0,1.0,,1.0,34.0,2.0,2.0,1.0,1.0,714.0,,1.0,21851.230856,1.0,1.0,1.0,2003
28991.0,2.0,6.0,2.0,3.0,1.0,45.0,1.0,1.0,45.0,1.0,,3.0,33031.800859,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,542.0,6.0,,1.6,2.0,2.0,,4.0,34.0,2.0,2.0,2.0,4.0,542.0,,1.0,32783.812462,3.0,1.0,4.0,2003
28992.0,2.0,11.0,2.0,1.0,1.0,37.0,1.0,1.0,37.0,1.0,,4.0,23912.30611,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,455.0,11.0,5.0,4.24,2.0,1.0,,4.0,30.0,2.0,1.0,2.0,4.0,456.0,,1.0,23939.533756,1.0,1.0,4.0,2003
28993.0,2.0,4.0,2.0,,,33.0,,1.0,10.0,1.0,,7.0,11009.412319,,3.0,2.0,1.0,,1.0,2.0,,124.0,4.0,,0.53,2.0,1.0,4.0,4.0,37.0,2.0,,2.0,,125.0,2.0,1.0,10971.081165,5.0,1.0,4.0,2003
28994.0,2.0,5.0,1.0,5.0,1.0,26.0,1.0,1.0,26.0,1.0,,2.0,26193.579546,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,322.0,3.0,,1.34,2.0,1.0,,4.0,37.0,2.0,2.0,1.0,4.0,323.0,,1.0,28368.814248,5.0,1.0,4.0,2003
28995.0,2.0,3.0,1.0,3.0,1.0,56.0,1.0,1.0,56.0,3.0,7.0,1.0,97421.179864,2.0,3.0,1.0,3.0,,2.0,2.0,2.0,676.0,3.0,,1.45,2.0,1.0,,3.0,32.0,2.0,2.0,2.0,4.0,676.0,,1.0,104523.925985,3.0,1.0,4.0,2003
28996.0,1.0,7.0,2.0,,,34.0,,1.0,0.0,3.0,,7.0,6527.836009,,3.0,2.0,1.0,,1.0,2.0,,6.0,7.0,4.0,1.23,2.0,1.0,,3.0,39.0,2.0,,1.0,,6.0,,1.0,6893.231676,1.0,1.0,5.0,2003
28997.0,2.0,9.0,2.0,,,19.0,,1.0,0.0,1.0,,5.0,5940.92488,,3.0,2.0,1.0,,1.0,2.0,,4.0,5.0,2.0,1.28,2.0,2.0,,2.0,42.0,2.0,,1.0,,5.0,,1.0,5940.92488,1.0,1.0,2.0,2003
28998.0,2.0,7.0,1.0,1.0,1.0,61.0,1.0,1.0,59.0,1.0,,2.0,78418.947157,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,715.0,7.0,4.0,3.55,2.0,2.0,,3.0,38.0,2.0,2.0,1.0,4.0,716.0,,1.0,85603.683673,1.0,1.0,2.0,2003
28999.0,2.0,11.0,2.0,,,41.0,,1.0,6.0,1.0,,3.0,54472.738538,,3.0,2.0,1.0,,1.0,2.0,,81.0,11.0,5.0,5.0,2.0,1.0,0.0,3.0,42.0,2.0,,1.0,,82.0,,1.0,58970.667624,1.0,1.0,4.0,2003
